En,Cn,Tdx,Sina,sina_note,dfcf,dfcf_note
Index,序号,序号,序号,,序号,df_index
SecurityID,代码,代码,代码,bjshsz8,代码,6位
Symbol,名称,名称,名称,,名称,
Increase,涨幅%,涨幅%,涨跌幅,pctChg,涨跌幅,%
New,现价,现价,最新价,,最新价,
Chg,涨跌,涨跌,涨跌额,,涨跌额,
Chg5min,5分钟涨跌,,,,5分钟涨跌,
BuyPx,买价,买价,买入,,,
SellPx,卖价,卖价,卖出,,,
Vol,总量,总量,成交量,股 volume,成交量,手
NowVol,现量,现量,,,,
Accer,涨速%,涨速%,,,,
Tor,换手%,换手%,,turn,换手率,%
Open,今开,今开,今开,,今开,
High,最高,最高,最高,,最高,
Low,最低,最低,最低,,最低,
Pre,昨收,昨收,昨收,preclose,昨收,
PE,市盈(动),市盈(动),,peTTM,市盈率-动态,
Amt,总金额,总金额,成交额,amount,成交额,元
VR,量比,量比,,,量比,
Industry,细分行业,细分行业,,,,
Area,地区,地区,,,,
Amp,振幅%,振幅%,,,振幅,%
AvgPx,均价,均价,,,,
InVol,内盘,内盘,,,,
OutVol,外盘,外盘,,,,
CR,内外比,内外比,,,,
BuyVol,买量,买量,,,,
SellVol,卖量,卖量,,,,
UnknownVol,未匹配量,未匹配量,,,,
TradableShare,流通股(亿),流通股(亿),,,,
Cmv,流通市值(亿),流通市值,,亿,,
TmvAB,AB股总市值(亿),AB股总市值,,亿,,
DOP,强弱度%,强弱度%,,,,
Activation,活跃度,活跃度,,,,
VolPO,笔均量,笔均量,,,,
TorPO,笔换手,笔换手,,,,
UpDays,连涨天,连涨天,,,,
Increase3,3日涨幅%,3日涨幅%,,,,
Increase5,5日涨幅%,5日涨幅%,,,,
PEttm,市盈(TTM),市盈(TTM),,,,
PEstatic,市盈(静),市盈(静),,,,
OpenR,开盘%,开盘%,,,,
HighR,最高%,最高%,,,,
LowR,最低%,最低%,,,,
IncreaseAvg,均涨幅%,均涨幅%,,,,
IncreaseEntity,实体涨幅%,实体涨幅%,,,,
BackWave,回头波%,回头波%,,,,
AttackWave,攻击波%,攻击波%,,,,
FinancialDate,财务更新,财务更新,,,,
IpoDate,上市日期,上市日期,,,,
TotalStockIssue,总股本(亿),总股本(亿),,totalShare,,
ShareAB,B/A股(亿),B/A股(亿),,,,
ShareH,H股(亿),H股(亿),,,,
FundAsset,总资产(亿),总资产(亿),,,,
NetAssets,净资产(亿),净资产(亿),,,,
MinorityInterest,少数股权(亿),少数股权(亿),,,,
ROA,资产负债率%,资产负债率%,,liabilityToAsset,,
LiquefiableAssets ,流动资产(亿),流动资产(亿),,,,
FixedAssets,固定资产(亿),固定资产(亿),,,,
IntangibleAssets),无形资产(亿),无形资产(亿),,,,
CurrentLiability ,流动负债(亿),流动负债(亿),,,,
CapitalReserve,资本公积金(亿),资本公积金(亿),,,,
Inventory,存货(亿),存货(亿),,,,
AccountsReceivable,应收帐款(亿),应收账款(亿),,亿,,
OperatingIncome,营业收入(亿),营业收入(亿),,,,
OperatingCost,营业成本(亿),营业成本(亿),,,,
OperatingProfit,营业利润(亿),营业利润(亿),,,,
InvestmentIncome,投资收益(亿),投资收益(亿),,,,
TNP,利润总额(亿),利润总额(亿),,,,
NPAT,税后利润(亿),税后利润(亿),,,,
NetProfit ,净利润(亿),净利润(亿),,netProfit,,
UDP,未分利润(亿),未分利润(亿),,,,
OCF,经营现金流(亿),经营现金流(亿),,,,
TCF,总现金流(亿),总现金流(亿),,,,
ShareHolders,股东人数,股东人数,,,,
SharePC,人均持股,人均持股,,,,
MVPC,人均市值(万),人均市值(万),,,,
ProfitR,利润同比%,利润同比%,,,,
RevenueR,收入同比%,收入同比%,,,,
PB,市净率,市净率,,pbMRQ,市净率,
PCF,市现率,市现率,,pcfNcfTTM,,
PSR ,市销率,市销率,,psTTM,,
EPS,每股收益,每股收益,,epsTTM,,
BVPS,每股净资,每股净资,,,,
ANAV,调整后净资,调整后净资,,,,
AFPS,每股公积,每股公积,,,,
UDPPS,每股未分配,每股未分配,,,,
ER,权益比%,权益比%,,,,
NPR,净益率%,净益率%,,,,
GM,毛利率%,毛利率%,,,,
OROA,营业利润率%,营业利润率%,,,,
CROE,净利润率%,净利润率%,,,,
Code,交易代码,交易代码,,,,
ChoiceDate,自选日,自选日,,,,
ChoicePx,自选价,自选价,,,,
ChoiceYield,自选收益%,自选收益%,,,,
AmtOpen,开盘金额,开盘金额,,,,
SealR,封成比,封成比,,,,
AmtSeal,封单额,封单额,,,,
Increase20,20日涨幅%,20日涨幅%,,,,
IncreaseYear,年初至今%,年初至今%,,,,
Increase60,60日涨幅%,60日涨幅%,,,,
OpneTUNZ,开盘换手Z,开盘换手Z,,,,
TUNZ,换手Z,换手Z,,,,
CmvZ,流通市值Z(亿),流通市值Z,,亿,,
LiquidRZ,流通比例Z,流通比例Z%,,,,
NewDAvg,现均差%,现均差%,,,,
MidForm,中期形态,中期形态,,,,
ShortForm,短期形态,短期形态,,,,
LongForm,长期形态,长期形态,,,,
Beta,贝塔系数,贝塔系数,,,,
IndicatorTips,近日指标提示,近日指标提示,,,,
NonNetProfit,扣非净利润(亿),扣非净利润(亿),,,,
DividendYield ,股息率%,股息率%,,,,
CashFlowPS,每股现金流,每股现金流,,,,
RDcost,研发费用(亿),研发费用(亿),,,,
Employee,员工人数,员工人数,,,,
Market,市场,,,,所属市场,"沪市A股,深主板A股,创业板"
StopStartDate,停牌日期(开始),,,,停牌时间,2/8/2022
StopEndDate,停牌日期(结束),,,,停牌截止时间,
StopType,停牌期限,,,,停牌期限,连续停牌
StopReason,停牌原因,,,,停牌原因,拟筹划重大资产重组
ReTradeDate,复牌日期,,,,预计复牌时间,
TradeDate,交易日期,,,,日期,
Open,开盘,,,,开盘,
Close,收盘,,,,收盘,New
NumTrade,成交笔数,,,,,
OpenTime,开盘时间,,,,,
CloseTime,收盘时间,,,,,
BidVol,主动买入成交量,,,,,
BidAmt,主动买入成交额,,,,,
AskVol,主动卖出成交量,,,,,
AskAmt,主动卖出成交额,,,,,
MarkPrice,标记价格,,,,,
Increase10,10日涨幅%,10日涨幅%,,,,
ContractLiability ,合同负债(亿),合同负债(亿),,,,
Currency,货币资金(亿),货币资金(亿),,,,
LimitDays,几天几板,几天几板,,,,
UpLimitDays,连板天,连板天,,,,
UpDaysYear,年涨停天,年涨停天,,,,
MVPC,人均市值,人均市值,,,,
MVchange,市值增减,市值增减,,,,
TypeIndustry,所属行业,所属行业,,,,
SecondIndustry,一二级行业,一二级行业,,,,
PEindustry,行业PE,行业PE,,,,
PreIncrease,昨涨幅%,昨涨幅%,,,,
Cocb,主营构成,主营构成,,constitution of core businesses,,
TradeStatus,交易状态,,,1正常交易 0停牌,,
AdjustFlag,复权状态,,,1后复权， 2前复权，3不复权,,
IsST,是否ST股,,,1是，0否,,
dividPreNoticeDate,预批露公告日,,,,,
dividAgmPumDate,股东大会公告日期,,,,,
dividPlanAnnounceDate,预案公告日,,,,,
dividPlanDate,分红实施公告日,,,,,
dividRegistDate,股权登记告日,,,,,
dividOperateDate,除权除息日期,,,,,
dividPayDate,派息日,,,,,
dividStockMarketDate,红股上市交易日,,,,,
dividCashPsBeforeTax,每股股利税前,,,,,
dividCashPsAfterTax,每股股利税后,,,,,
dividStocksPs,分红送转,,,,,
dividReserveToStockPs,每股转增资本,,,,,
roeAvg,净资产收益率(平均),,,% dupontROE,,
npMargin,销售净利率,,,,,
gpMargin,销售毛利率,,,,,
MBRevenue,主营营业收入,,,,,
liqaShare,流通股本,,,,,
pubDate,公司发布财报的日期,,,,,
NRTurnRatio,应收账款周转率,,,次,,
NRTurnDays,应收账款周转天数,,,天,,
INVTurnRatio,存货周转率,,,次,,
INVTurnDays,存货周转天数,,,天,,
CATurnRatio,流动资产周转率,,,次,,
AssetTurnRatio,总资产周转率,,,,,
YOYEquity,净资产同比增长率,,,,,
YOYAsset,总资产同比增长率,,,,,
YOYNI,净利润同比增长率,,,,,
YOYEPSBasic,基本每股收益同比增长率,,,,,
YOYPNI,归属母公司股东净利润同比增长率,,,,,
currentRatio,流动比率,,,,,
quickRatio,速动比率,,,,,
cashRatio,现金比率,,,,,
YOYLiability,总负债同比增长率,,,,,
assetToEquity,权益乘数,,,,,
CAToAsset,流动资产除以总资产,,,,,
NCAToAsset,非流动资产除以总资产,,,,,
tangibleAssetToAsset,有形资产除以总资产,,,,,
ebitToInterest,已获利息倍数,,,,,
CFOToOR,经营活动产生的现金流量净额除以营业收入,,,,,
CFOToNP,经营性现金净流量除以净利润,,,,,
CFOToGr,经营性现金净流量除以营业总收入,,,,,
dupontAssetStoEquity,权益乘数,,,,,
dupontAssetTurn,总资产周转率,,,,,
dupontPnitoni,归属母公司股东的净利润/净利润,,,,,
dupontNitogr,净利润/营业总收入,,,,,
dupontTaxBurden,净利润/利润总额,,,,,
dupontIntburden,利润总额/息税前利润,,,,,
dupontEbittogr,息税前利润/营业总收入,,,,,
performanceExpPubDate,业绩快报披露日,,,,,
performanceExpStatDate,业绩快报统计日期,,,,,
performanceExpUpdateDate,业绩快报披露日(最新),,,,,
performanceExpressTotalAsset,业绩快报总资产,,,,,
performanceExpressNetAsset,业绩快报净资产,,,,,
performanceExpressEPSChgPct,业绩每股收益增长率,,,,,
performanceExpressROEWa,业绩快报净资产收益率ROE-加权,,,,,
performanceExpressEPSDiluted,业绩快报每股收益EPS-摊薄,,,,,
performanceExpressGRYOY,业绩快报营业总收入同比,,,,,
performanceExpressOPYOY,业绩快报营业利润同比,,,,,
profitForcastExpPubDate,业绩预告发布日期,,,,,
profitForcastExpStatDate,业绩预告统计日期,,,,,
profitForcastType,业绩预告类型,,,,,
profitForcastAbstract,业绩预告摘要,,,,,
profitForcastChgPctUp,预告归属于母公司的净利润增长上限,,,,,
profitForcastChgPctDwn,预告归属于母公司的净利润增长下限,,,,,
outDate,退市日期,,,,,
